Molecular Formula,SMILES,XLogP,Molecular Weight,Hydrogen Bond Donors,Hydrogen Bond Acceptors,Element Count,Topological Polar Surface Area,Rotatable Bonds Count,Lipinski_Violations,Ghose_Violations,Veber_Violations,Lipinski_Pass,Ghose_Pass,Veber_Pass,Sweet_Spot_Pass,All_Rules_Pass
N6Pb,[Pb](N=[N+]=[N-])N=[N+]=[N-],1.072,291.995096,0,4,7,24.72,2,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C11H17NO3,O(c1c(OC)cc(CCN)cc1OC)C,0.779,211.120843,1,1,32,53.71,9,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
CHN,N#C,-0.357,27.010899,0,1,3,23.79,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C5H8N4O12,O=[N+](OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],1.386,316.013872,0,0,29,209.48,16,0,0,2,✅ Pass,✅ Pass,❌ Fail,✅ Pass,❌ Fail
C18H19ClN4,Clc1cc2N=C(N3CCN(C)CC3)c4ccccc4Nc2cc1,3.864,326.129824,1,4,42,30.87,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
CCaO3,[Ca+2].O=C([O-])[O-],-1.192,99.947335,0,3,5,63.19,2,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C4H8Cl2S,ClCCSCCCl,2.711,157.972377,0,0,15,25.3,6,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
CCl2O,ClC(Cl)=O,1.114,97.93262,0,1,4,17.07,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C15H12N2O2,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,2.653,252.089878,2,4,31,58.2,2,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C12H19Cl3O8,Cl[C@@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@]2(O[C@H](CCl)[C@H]([C@@H]2O)O)CCl)O[C@@H]1CO,-0.734,396.014551,5,8,42,128.84,13,0,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C8H11NO2,Oc1c(O)ccc(c1)CCN,0.651,153.078979,3,1,22,66.48,5,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C6H9NO,O=C1N([C@@H](C*)*)CCC1,0.015,,0,2,19,20.31,4,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
H3O,[OH3+],-0.467,19.01839,1,0,4,0.0,0,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C4H4ClNOS,Clc1sn(C)c(c1)=O,0.724,148.970212,0,0,12,50.24,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
